KEY,ROUTE,PAGE_NAME,SECTION_OR_COMPONENT,ENGLISH_SOURCE,CURRENT_ARABIC,CLAIM_ID,CLAIM_STATUS,CONTENT_CATEGORY,RISK_LEVEL,REVIEW_DECISION,PROPOSED_ARABIC,REVIEWER_NOTE,LEGAL_REVIEW_REQUIRED,SEVERITY
privacy.advanced.items,/ar/privacy/,Privacy & Safety,advanced,"[1] title: Separate Parent and Platform Admin authority
[1] body: PCA Parent and PCA Platform Admin are separate security/session/RBAC realms. An internal operator interface must not become a shortcut into a parent's protected experience.
[2] title: No hidden surveillance controls
[2] body: PCA is not designed around password capture, message capture, covert TLS interception, background gallery scanning or hidden screen recording.","[1] title: فصل PCA Parent عن PCA Platform Admin
[1] body: PCA Parent وPCA Platform Admin بيئتان منفصلتان من ناحية الجلسات والصلاحيات. لا يجوز أن تصبح لوحة الإدارة الداخلية طريقًا مختصرًا للدخول إلى تجربة الوالدين المحمية.
[2] title: لم تُصمم PCA حول المراقبة الخفية
[2] body: لم تُصمم PCA حول التقاط كلمات المرور أو الرسائل، أو اعتراض TLS بشكل خفي، أو فحص معرض الصور في الخلفية، أو تسجيل الشاشة سرًا.",CLM-046,VERIFIED_AVAILABLE,PRIVACY_ASSERTION,CRITICAL,REVISE_MEDIUM,"[1] title: فصل PCA Parent عن PCA Platform Admin
[1] body: PCA Parent وPCA Platform Admin بيئتان منفصلتان من حيث الأمان والجلسات والأدوار والصلاحيات. ويجب ألا تتحول واجهة المشغّل الداخلية إلى طريق مختصر للوصول إلى تجربة الوالدين المحمية.
[2] title: لم تُصمم PCA حول المراقبة الخفية
[2] body: لم تُصمم PCA حول التقاط كلمات المرور أو الرسائل، أو اعتراض اتصالات TLS بشكل خفي، أو فحص معرض الصور في الخلفية، أو تسجيل الشاشة سرًا.",العربية الحالية تحذف بُعد الأمان والأدوار من security/session/RBAC realms. المقترح يشرح المعنى دون عرض مصطلح RBAC الداخلي، ويجعل TLS مفهومًا ضمن عبارة عربية.,YES,MEDIUM
privacy.advanced.lead,/ar/privacy/,Privacy & Safety,advanced,This part is for parents who want the technical picture. You do not need it to use PCA.,هذا القسم لمن يرغب في الصورة التقنية، ولا تحتاج إليه لاستخدام PCA.,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.advanced.title,/ar/privacy/,Privacy & Safety,advanced,More technical detail,تفاصيل تقنية إضافية,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.cta.policy,/ar/privacy/,Privacy & Safety,cta,Read the Detailed Privacy Policy,سياسة الخصوصية بالتفصيل,NONE,NONE,CTA,HIGH,REVISE_LOW,اقرأ سياسة الخصوصية التفصيلية,المصدر دعوة فعلية للقراءة؛ النص الحالي اسم صفحة لا CTA.,NO,LOW
privacy.faq.items,/ar/privacy/,Privacy & Safety,faq,"[1] q: Does PCA collect my child's data?
[1] a: PCA needs to process some information to provide protection. The design goal is to keep sensitive activity on trusted family-side devices or synchronize it end-to-end encrypted where required, instead of creating a readable central PCA profile. Central services still need minimum account and technical data to operate.
[2] q: How do I report a privacy or security concern?
[2] a: If you believe you have found a security issue, please hold it until PCA publishes its reporting channels — see Contact. Do not include child-sensitive content unless the support team explicitly and safely requests specific information.","[1] q: هل تجمع PCA معلومات طفلي؟
[1] a: تحتاج PCA إلى معالجة بعض المعلومات حتى تعمل وظائف الحماية. الهدف هو إبقاء النشاط الحساس على الأجهزة الموثوقة لدى الوالدين والطفل، أو مزامنته بتشفير من طرف إلى طرف حيث يلزم، بدل إنشاء ملف مركزي مقروء لدى PCA. وفي الوقت نفسه تحتاج الخدمات المركزية إلى الحد الأدنى من معلومات الحساب والتشغيل.
[2] q: كيف أبلغ عن مشكلة تتعلق بالخصوصية أو الأمان؟
[2] a: إذا كنت تعتقد أنك وجدت مشكلة أمنية، فيرجى الانتظار حتى تنشر PCA قنوات الإبلاغ — راجع صفحة التواصل. لا ترسل معلومات حساسة عن الطفل إلا إذا طُلبت منك معلومة محددة وضرورية بطريقة آمنة.",NONE,NONE,PRIVACY_ASSERTION,CRITICAL,REVISE_MEDIUM,"[1] q: هل تجمع PCA معلومات طفلي؟
[1] a: تحتاج PCA إلى معالجة بعض المعلومات حتى تعمل وظائف الحماية. الهدف هو إبقاء النشاط الحساس على الأجهزة الموثوقة لدى الأسرة، أو مزامنته بتشفير من طرف إلى طرف عند الحاجة، بدلًا من إنشاء ملف مركزي مقروء لدى PCA. وفي الوقت نفسه، تحتاج الخدمات المركزية إلى الحد الأدنى من معلومات الحساب والمعلومات التقنية لتشغيل الخدمة.
[2] q: كيف أبلغ عن مشكلة تتعلق بالخصوصية أو الأمان؟
[2] a: إذا كنت تعتقد أنك وجدت مشكلة أمنية، فيُرجى الانتظار حتى تنشر PCA قنوات الإبلاغ — راجع صفحة التواصل. لا ترسل معلومات حساسة عن الطفل إلا إذا طُلبت منك معلومة محددة وضرورية بطريقة آمنة.",يعيد technical data التي تحولت إلى «معلومات التشغيل»، ويحافظ على where required بصياغة «عند الحاجة» دون تقوية الادعاء.,YES,MEDIUM
privacy.faq.title,/ar/privacy/,Privacy & Safety,faq,Common privacy questions,أسئلة شائعة عن الخصوصية,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.hero.body,/ar/privacy/,Privacy & Safety,hero,PCA is designed to provide protection without building a readable central profile of your child's sensitive activity.,صُممت PCA لتقديم الحماية دون إنشاء ملف مركزي مقروء عن النشاط الحساس لطفلك.,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.hero.title,/ar/privacy/,Privacy & Safety,hero,"Your child's activity belongs to you, not to us",نشاط طفلك يخصك أنت، وليس PCA,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.honesty.body,/ar/privacy/,Privacy & Safety,honesty,An online account service needs some technical and account information to operate. A slogan promising otherwise would hide that reality. The meaningful privacy promise is that PCA must not turn sensitive child activity into a readable central database.,تحتاج أي خدمة حسابات على الإنترنت إلى قدر من المعلومات التقنية ومعلومات الحساب حتى تعمل، وأي شعار يوحي بعكس ذلك قد يكون مضللًا. الوعد الأهم هو أن PCA لا يجب أن تحول النشاط الحساس للطفل إلى قاعدة بيانات مركزية مقروءة.,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.honesty.title,/ar/privacy/,Privacy & Safety,honesty,Why we avoid absolute privacy slogans,لماذا نتجنب الشعارات المطلقة عن الخصوصية؟,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.notStored.items,/ar/privacy/,Privacy & Safety,notStored,"[1] photos and videos;
[2] arbitrary files/documents;
[3] messages;
[4] readable app-usage history;
[5] readable browsing history;
[6] readable precise-location history;
[7] microphone recordings;
[8] screenshots/background screen recordings;
[9] passwords or credentials.","[1] الصور والفيديوهات؛
[2] الملفات والمستندات العشوائية؛
[3] الرسائل الشخصية؛
[4] سجل استخدام التطبيقات المقروء؛
[5] سجل التصفح المقروء؛
[6] سجل الموقع الدقيق المقروء؛
[7] تسجيلات الميكروفون؛
[8] لقطات الشاشة أو التسجيلات الخلفية للشاشة؛
[9] كلمات المرور أو بيانات الاعتماد.",NONE,NONE,PRIVACY_ASSERTION,CRITICAL,REVISE_MEDIUM,"[1] الصور والفيديوهات؛
[2] الملفات أو المستندات الأخرى على الجهاز؛
[3] الرسائل الشخصية؛
[4] سجل استخدام التطبيقات المقروء؛
[5] سجل التصفح المقروء؛
[6] سجل الموقع الدقيق المقروء؛
[7] تسجيلات الميكروفون؛
[8] لقطات الشاشة أو تسجيلات الشاشة في الخلفية؛
[9] كلمات المرور أو بيانات الاعتماد.",«الملفات العشوائية» و«التسجيلات الخلفية للشاشة» تعبيران غير طبيعيين وقد يربكان القارئ؛ المقترح أوضح مع الحفاظ على نطاق الحظر.,YES,MEDIUM
privacy.notStored.title,/ar/privacy/,Privacy & Safety,notStored,What PCA must not store centrally as readable child content,ما الذي يجب ألا تخزنه PCA مركزيًا كمحتوى مقروء للطفل؟,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.principles.items,/ar/privacy/,Privacy & Safety,principles,"[1] title: Protection without surveillance
[1] body: Use the minimum information needed for useful protection.
[2] title: Privacy by design
[2] body: Keep sensitive child activity within trusted family-side systems wherever possible.
[3] title: Transparency
[3] body: Parents should understand what a feature does and what information it needs.
[4] title: Child dignity
[4] body: Protection should not humiliate children or treat them as suspects.
[5] title: Age-appropriate protection
[5] body: Different ages and family situations need different boundaries.
[6] title: Parent responsibility
[6] body: PCA supports parents; it does not replace communication, judgment or care.
[7] title: No hidden monitoring
[7] body: PCA should not depend on covert message capture, password capture, hidden screen recording or background gallery collection.
[8] title: Accessible safety
[8] body: Meaningful protection should be designed for broad family access.
[9] title: No false capability claims
[9] body: Trust requires honesty about what is available, limited or coming later.","[1] title: الحماية دون مراقبة مفرطة
[1] body: استخدم الحد الأدنى من المعلومات المطلوبة لتحقيق حماية مفيدة.
[2] title: الخصوصية من أساس التصميم
[2] body: أبقِ النشاط الحساس للطفل ضمن الأجهزة والأنظمة الموثوقة لدى الوالدين والطفل قدر الإمكان.
[3] title: الشفافية
[3] body: يجب أن يفهم الوالدان ما الذي تفعله الميزة وما المعلومات التي تحتاجها.
[4] title: كرامة الطفل
[4] body: يجب ألا تُهين الحماية الطفل أو تتعامل معه كمتهم.
[5] title: حماية مناسبة للعمر
[5] body: الأعمار والظروف الأسرية المختلفة تحتاج حدودًا مختلفة.
[6] title: مسؤولية الوالدين
[6] body: PCA أداة مساعدة، وليست بديلًا عن الحوار والحكم السليم والرعاية.
[7] title: لا مراقبة خفية
[7] body: لا ينبغي أن تعتمد PCA على التقاط الرسائل أو كلمات المرور أو تسجيل الشاشة سرًا أو جمع صور الطفل في الخلفية.
[8] title: حماية يمكن الوصول إليها
[8] body: ينبغي تصميم الحماية المفيدة لتصل إلى عدد أكبر من الأسر.
[9] title: لا ادعاءات غير صحيحة
[9] body: الثقة تحتاج إلى الصراحة بشأن ما هو متاح وما هو محدود وما سيأتي لاحقًا.",NONE,NONE,PRIVACY_ASSERTION,CRITICAL,REVISE_HIGH,"[1] title: الحماية دون تجسّس
[1] body: استخدم الحد الأدنى من المعلومات المطلوبة لتحقيق حماية مفيدة.
[2] title: الخصوصية جزء من التصميم
[2] body: أبقِ النشاط الحساس للطفل ضمن الأنظمة الموثوقة لدى الأسرة قدر الإمكان.
[3] title: الشفافية
[3] body: يجب أن يفهم الوالدان ما الذي تفعله الميزة وما المعلومات التي تحتاجها.
[4] title: كرامة الطفل
[4] body: يجب ألا تُهين الحماية الطفل أو تتعامل معه كمتهم.
[5] title: حماية مناسبة للعمر
[5] body: الأعمار والظروف الأسرية المختلفة تحتاج حدودًا مختلفة.
[6] title: مسؤولية الوالدين
[6] body: PCA أداة مساعدة، وليست بديلًا عن الحوار والحكم السليم والرعاية.
[7] title: لا مراقبة خفية
[7] body: لا ينبغي أن تعتمد PCA على التقاط الرسائل أو كلمات المرور أو تسجيل الشاشة سرًا أو جمع صور الطفل في الخلفية.
[8] title: حماية متاحة لأسر أكثر
[8] body: ينبغي تصميم وسائل حماية مفيدة لتكون متاحة لعدد أكبر من الأسر.
[9] title: لا ادعاءات غير صحيحة
[9] body: الثقة تحتاج إلى الصراحة بشأن ما هو متاح وما هو محدود وما سيأتي لاحقًا.",العنوان «الحماية دون مراقبة مفرطة» يضعف المصدر Protection without surveillance لأنه يسمح ضمنيًا بمراقبة غير «مفرطة». هذا انحراف في قوة مبدأ الخصوصية، لذلك التصنيف مرتفع.,YES,HIGH
privacy.principles.lead,/ar/privacy/,Privacy & Safety,principles,Digital protection should help families reduce risk without teaching children that constant surveillance is normal.,يجب أن تساعد الحماية الرقمية الأسرة على تقليل المخاطر دون أن يتعلم الطفل أن المراقبة الدائمة أمر طبيعي.,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.principles.title,/ar/privacy/,Privacy & Safety,principles,Protect children. Respect childhood.,احمِ الطفل واحترم طفولته,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.retention.body,/ar/privacy/,Privacy & Safety,retention,"[1] Parent control over account and protection information is part of PCA's design intent, but the controls are not built yet.
[2] Central information should be kept only as long as it is needed to run the service, keep it secure and meet legal obligations. Exact deletion and retention behaviour will be documented once it has been verified.","[1] تحكم الوالدين في الحساب وفي معلومات الحماية جزء من نية التصميم في PCA، لكن هذه الأدوات لم تُبنَ بعد.
[2] ينبغي عدم الاحتفاظ بالمعلومات المركزية إلا للمدة اللازمة لتشغيل الخدمة والحفاظ على أمانها والوفاء بالالتزامات القانونية. وسيتم توثيق السلوك الدقيق للاحتفاظ والحذف بعد التحقق منه.",NONE,NONE,PRIVACY_ASSERTION,CRITICAL,REVISE_LOW,"[1] تحكم الوالدين في الحساب ومعلومات الحماية جزء من أهداف تصميم PCA، لكن أدوات التحكم هذه لم تُبنَ بعد.
[2] ينبغي عدم الاحتفاظ بالمعلومات المركزية إلا للمدة اللازمة لتشغيل الخدمة والحفاظ على أمانها والوفاء بالالتزامات القانونية. وسيتم توثيق السلوك الدقيق للاحتفاظ والحذف بعد التحقق منه.",«نية التصميم» ترجمة حرفية؛ «أهداف تصميم PCA» أوضح ولا تغيّر كون الأدوات غير مبنية بعد.,YES,LOW
privacy.retention.title,/ar/privacy/,Privacy & Safety,retention,Keeping and deleting information,الاحتفاظ بالمعلومات وحذفها,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.seo.description,/ar/privacy/,Privacy & Safety,seo,"Understand PCA's local-first privacy approach, family-side data, minimum central technical records and the child safety principles behind them.",تعرّف على نهج PCA في المعالجة المحلية، والمعلومات الموجودة ضمن الأجهزة الموثوقة، والحد الأدنى من المعلومات التقنية المركزية، ومبادئ سلامة الطفل.,NONE,NONE,SEO_METADATA,MEDIUM,REVISE_MEDIUM,تعرّف على نهج PCA الذي يعطي الأولوية للمعالجة المحلية، وعلى المعلومات التي تبقى لدى الأسرة، والحد الأدنى من السجلات التقنية المركزية، ومبادئ سلامة الطفل التي يقوم عليها هذا النهج.,يعيد local-first وfamily-side data بصورة أوضح؛ النص الحالي يحصر family-side في «الأجهزة الموثوقة» ويضعف معنى أولوية المعالجة المحلية.,NO,MEDIUM
privacy.seo.title,/ar/privacy/,Privacy & Safety,seo,PCA Privacy & Safety — Protection Without a Readable Central Child Profile,الخصوصية والسلامة في PCA — حماية دون إنشاء ملف مركزي مقروء للطفل,NONE,NONE,SEO_METADATA,MEDIUM,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,NO,NONE
privacy.topics.items,/ar/privacy/,Privacy & Safety,topics,"[1] title: Photos, videos and files
[1] body: PCA does not need routine access to a child's photo library, videos or arbitrary files. These must not be collected into a readable central PCA database.
[2] title: Messages
[2] body: No routine PCA protection feature is designed to capture or centrally read personal messages.
[3] title: App use and screen time
[3] body: Readable app-usage history must not become centrally readable PCA data. App use may be processed locally where needed for protection.
[4] title: Browsing protection
[4] body: PCA's privacy rule is that readable browsing history must not be stored centrally. Web-safety functions may still need local processing to make protection decisions.
[5] title: Location
[5] body: Location is sensitive. Any approved location feature must be parent-controlled and designed so readable precise-location history does not become central PCA data.
[6] title: Camera and eye distance
[6] body: Eye-distance protection using the camera is planned for a later release. It is not an active feature today, and how any future version would handle camera frames will be described here once it has been verified.","[1] title: الصور والفيديوهات والملفات
[1] body: لا تحتاج الحماية المعتادة إلى الوصول إلى مكتبة صور الطفل أو فيديوهاته أو ملفاته العشوائية، ويجب ألا تُجمع هذه الأشياء في قاعدة بيانات مركزية مقروءة لدى PCA.
[2] title: الرسائل
[2] body: لم تُصمم وظائف الحماية المعتادة في PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[3] title: استخدام التطبيقات ووقت الشاشة
[3] body: يجب ألا يتحول سجل استخدام التطبيقات المقروء إلى بيانات مركزية لدى PCA. يمكن معالجة استخدام التطبيقات محليًا عندما تحتاج وظيفة الحماية إلى ذلك.
[4] title: الحماية أثناء التصفح
[4] body: قاعدة الخصوصية في PCA هي عدم حفظ سجل التصفح المقروء مركزيًا. وقد تحتاج الحماية على الويب إلى معالجة محلية لاتخاذ قرار الحماية.
[5] title: الموقع
[5] body: الموقع معلومات حساسة. يجب أن تكون أي ميزة موقع معتمدة تحت تحكم الوالدين، وألا يتحول سجل الموقع الدقيق المقروء إلى بيانات مركزية لدى PCA.
[6] title: الكاميرا والمسافة عن الشاشة
[6] body: حماية المسافة بين العين والشاشة عبر الكاميرا مخطط لها في إصدار لاحق. وهي ليست ميزة فعّالة اليوم، وسنوضح هنا كيفية تعامل أي إصدار مستقبلي مع صور الكاميرا بعد التحقق من ذلك.",CLM-036; CLM-037,REQUIRES_PLATFORM_SUPPORT; COMING_LATER,PRIVACY_ASSERTION,CRITICAL,REVISE_HIGH,"[1] title: الصور والفيديوهات والملفات
[1] body: لا تحتاج الحماية المعتادة إلى الوصول إلى مكتبة صور الطفل أو مقاطع الفيديو أو الملفات الأخرى على الجهاز، ويجب ألا تُجمع هذه المحتويات في قاعدة بيانات مركزية مقروءة لدى PCA.
[2] title: الرسائل
[2] body: لم تُصمم وظائف الحماية المعتادة في PCA لالتقاط الرسائل الشخصية أو قراءتها مركزيًا.
[3] title: استخدام التطبيقات ووقت الشاشة
[3] body: يجب ألا يتحول سجل استخدام التطبيقات المقروء إلى بيانات مركزية مقروءة لدى PCA. وقد تتم معالجة استخدام التطبيقات محليًا عند الحاجة إلى ذلك للحماية.
[4] title: الحماية أثناء التصفح
[4] body: قاعدة الخصوصية في PCA هي عدم حفظ سجل التصفح المقروء مركزيًا. وقد تحتاج وظائف السلامة على الويب إلى معالجة محلية لاتخاذ قرارات الحماية.
[5] title: الموقع
[5] body: الموقع معلومات حساسة. يجب أن تكون أي ميزة معتمدة للموقع تحت تحكم الوالدين، وأن تُصمم بحيث لا يتحول سجل الموقع الدقيق المقروء إلى بيانات مركزية مقروءة لدى PCA.
[6] title: الكاميرا والمسافة عن الشاشة
[6] body: حماية المسافة بين العين والشاشة باستخدام الكاميرا مخطط لها في إصدار لاحق. وهي غير متاحة حاليًا، وسنوضح هنا كيفية تعامل أي إصدار مستقبلي مع صور الكاميرا بعد التحقق من ذلك.",في البندين 3 و5 حذفت العربية الحالية قيد «centrally readable»، فأصبحت توحي بعدم وجود أي بيانات مركزية مطلقًا، وهو ادعاء أقوى من الإنجليزية. كما أن «فعّالة اليوم» قد تُفهم كالكفاءة لا حالة الإتاحة. هذا انحراف عالي الخطورة في الخصوصية وحالة الميزة.,YES,HIGH
privacy.topics.title,/ar/privacy/,Privacy & Safety,topics,"What this means, topic by topic",ماذا يعني ذلك لكل نوع من المعلومات؟,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacy.where.items,/ar/privacy/,Privacy & Safety,where,"[1] title: What PCA processes locally
[1] body: Some protection functions need information on the child device. PCA's approach is to process that information locally wherever possible.
[2] title: What may synchronize between trusted family devices
[2] body: When sensitive protection information needs to move between trusted parent and child endpoints, PCA is designed to use end-to-end encrypted delivery where required. Production scope remains subject to security verification.
[3] title: What PCA central services need
[3] body: Central services may keep minimum technical records for parent accounts/authentication, opaque device/child identifiers, enrollment, entitlement/licensing, encrypted delivery, delivery state, timestamps and minimum operational/security metadata.","[1] title: ما الذي تتم معالجته محليًا؟
[1] body: تحتاج بعض وظائف الحماية إلى معلومات على جهاز الطفل. ونهج PCA هو إبقاء هذه المعالجة محليًا قدر الإمكان.
[2] title: ما الذي قد تتم مزامنته بين الأجهزة الموثوقة؟
[2] body: عندما يلزم انتقال معلومات حماية حساسة بين جهاز الوالدين وجهاز الطفل، صُممت PCA لاستخدام نقل مشفّر من طرف إلى طرف حيث يلزم. يبقى نطاق التشفير في الإنتاج خاضعًا للمراجعة الأمنية النهائية.
[3] title: ما الذي تحتاجه خدمات PCA المركزية؟
[3] body: قد تحتفظ الخدمات المركزية بالحد الأدنى من السجلات التقنية اللازمة لحساب الوالدين والمصادقة والمعرّفات المبهمة للأجهزة/الأطفال وحالة التسجيل والترخيص/الاستحقاق والتسليم المشفر وحالة التسليم والطوابع الزمنية والحد الأدنى من بيانات التشغيل والأمان.",CLM-015,LIMITED,PRIVACY_ASSERTION,CRITICAL,REVISE_MEDIUM,"[1] title: ما الذي تعالجه PCA محليًا؟
[1] body: تحتاج بعض وظائف الحماية إلى معلومات على جهاز الطفل. ونهج PCA هو معالجة تلك المعلومات محليًا كلما أمكن.
[2] title: ما الذي قد تتم مزامنته بين أجهزة الأسرة الموثوقة؟
[2] body: عندما يلزم نقل معلومات حماية حساسة بين جهاز الوالد وجهاز الطفل، صُممت PCA لاستخدام نقل مشفّر من طرف إلى طرف عند الحاجة. ويظل نطاق ذلك في بيئة الإنتاج خاضعًا للتحقق الأمني.
[3] title: ما الذي تحتاجه خدمات PCA المركزية؟
[3] body: قد تحتفظ الخدمات المركزية بالحد الأدنى من السجلات التقنية اللازمة لحساب الوالد والمصادقة، ومعرّفات غير دالّة على الهوية للأجهزة والأطفال، والتسجيل، والاستحقاق والترخيص، والتسليم المشفّر، وحالة التسليم، والطوابع الزمنية، والحد الأدنى من البيانات الوصفية التشغيلية والأمنية.",تحسين دقة المصطلحات: «opaque identifiers» ليست ببساطة «معرفات مبهمة»، وproduction scope هو نطاق خاضع للتحقق لا «نطاق التشفير النهائي» بالضرورة. يحافظ المقترح على may/where required.,YES,MEDIUM
privacy.where.title,/ar/privacy/,Privacy & Safety,where,Where your child's information lives,أين تبقى معلومات طفلك؟,NONE,NONE,PRIVACY_ASSERTION,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacyPolicy.account.body,/ar/privacy-policy/,Privacy Policy (provisional draft),account,"PCA may process parent email, authentication records and other minimum information required for account access, security and service administration.",قد تعالج PCA البريد الإلكتروني للوالدين وسجلات المصادقة والحد الأدنى من المعلومات المطلوبة للوصول والأمان وإدارة الخدمة.,NONE,NONE,LEGAL_TEXT,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacyPolicy.account.title,/ar/privacy-policy/,Privacy Policy (provisional draft),account,Information we need for the parent account,معلومات حساب الوالدين,NONE,NONE,LEGAL_TEXT,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacyPolicy.childDevice.body,/ar/privacy-policy/,Privacy Policy (provisional draft),childDevice,PCA may use opaque child/device identifiers and enrollment state centrally. Sensitive child protection information should remain family-side or encrypted in transit/relay according to the approved architecture.,قد تستخدم PCA معرفات غير مقروءة للطفل والجهاز وحالة التسجيل مركزيًا. أما معلومات الحماية الحساسة فيجب أن تبقى ضمن الأجهزة الموثوقة أو مشفرة بحسب البنية المعتمدة.,NONE,NONE,LEGAL_TEXT,CRITICAL,REVISE_HIGH,قد تستخدم PCA مركزيًا معرّفات غير دالّة على الهوية للطفل والجهاز، إلى جانب حالة التسجيل. أما معلومات حماية الطفل الحساسة، فينبغي أن تبقى لدى الأسرة أو تظل مشفّرة أثناء النقل وعبر خدمات الترحيل، وفقًا للبنية المعتمدة.,العربية الحالية تحوّل should remain إلى «فيجب أن تبقى» الأقوى، وتحذف قيد in transit/relay. كلاهما يغيّر قوة ونطاق ادعاء الخصوصية، لذا يلزم تصحيح عالي الأولوية.,YES,HIGH
privacyPolicy.childDevice.title,/ar/privacy-policy/,Privacy Policy (provisional draft),childDevice,Child/device information,معلومات الطفل والجهاز,NONE,NONE,LEGAL_TEXT,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacyPolicy.contact.body,/ar/privacy-policy/,Privacy Policy (provisional draft),contact,Final privacy contact and legal entity details are pending owner approval.,بيانات جهة الخصوصية والجهة القانونية النهائية ما زالت بانتظار الاعتماد.,NONE,NONE,LEGAL_TEXT,CRITICAL,LEGAL_REVIEW_REQUIRED,بيانات جهة التواصل المعنية بالخصوصية وبيانات الكيان القانوني النهائية ما زالت بانتظار اعتماد المالك.,«الجهة القانونية» ليست ترجمة دقيقة دائمًا لـlegal entity. المقترح أدق، لكن اعتماد مصطلح الكيان القانوني جزء من النص القانوني النهائي ويجب مراجعته قانونيًا.,YES,MEDIUM
privacyPolicy.contact.title,/ar/privacy-policy/,Privacy Policy (provisional draft),contact,Contact,التواصل,NONE,NONE,LEGAL_TEXT,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
privacyPolicy.cookies.body,/ar/privacy-policy/,Privacy Policy (provisional draft),cookies,Final disclosure is pending runtime inspection. PCA's recommended posture is to minimize tracking and avoid advertising/session-replay technologies on sensitive authenticated surfaces.,الإفصاح النهائي يتوقف على فحص التطبيق الفعلي. الاتجاه الموصى به هو تقليل التتبع وتجنب تقنيات الإعلانات أو إعادة تشغيل الجلسات في المساحات الحساسة.,NONE,NONE,LEGAL_TEXT,CRITICAL,LEGAL_REVIEW_REQUIRED,الإفصاح النهائي بانتظار فحص بيئة التشغيل الفعلية. ويوصي نهج PCA بتقليل التتبع وتجنب تقنيات الإعلانات أو تسجيل الجلسات وإعادة تشغيلها على الواجهات الحساسة التي تتطلب تسجيل الدخول.,«إعادة تشغيل الجلسات» وحدها قد تُفهم كإعادة تشغيل جلسة تقنية، كما أن العربية الحالية تحذف authenticated. التصحيح يغيّر نطاق إفصاح تتبع/تحليلات قانوني، لذا يتطلب مراجعة قانونية.,YES,HIGH
privacyPolicy.cookies.title,/ar/privacy-policy/,Privacy Policy (provisional draft),cookies,Cookies/analytics,ملفات الارتباط والتحليلات,NONE,NONE,LEGAL_TEXT,CRITICAL,PASS,,النص العربي طبيعي ووفِيّ للمصدر الإنجليزي، ولا يغيّر قوة الادعاء أو حالة الميزة.,YES,NONE
